time_s,tracker_id,qx,qy,qz,qw,raw_grip
10.8029,CubeBlue,0.0116,-0.4628,-0.0177,0.8862,0
10.8318,CubeRed,-0.2244,0.2605,-0.6480,0.6796,0
10.8320,CubeBlue,0.0152,-0.4442,-0.0501,0.8944,0
10.8854,CubeRed,-0.2250,0.2600,-0.6474,0.6802,0
10.8856,CubeBlue,0.0163,-0.4785,-0.0470,0.8767,0
10.9962,CubeRed,-0.2246,0.2605,-0.6475,0.6800,0
10.9964,CubeBlue,0.0168,-0.5507,-0.0359,0.8338,0
11.0275,CubeRed,-0.2246,0.2606,-0.6478,0.6796,0
11.0278,CubeBlue,0.0239,-0.6180,-0.0154,0.7857,0
11.0817,CubeRed,-0.2246,0.2606,-0.6478,0.6796,0
11.0819,CubeBlue,0.0395,-0.6359,-0.0052,0.7707,0
11.1968,CubeRed,-0.2251,0.2602,-0.6472,0.6802,0
11.1970,CubeBlue,0.0033,-0.6328,0.0130,0.7742,0
11.2211,CubeRed,-0.2251,0.2606,-0.6468,0.6805,0
11.2215,CubeBlue,0.0180,-0.6245,0.0051,0.7808,0
11.2740,CubeRed,-0.2254,0.2602,-0.6472,0.6801,0
11.2742,CubeBlue,0.0164,-0.6246,0.0018,0.7808,0
11.3881,CubeRed,-0.2249,0.2609,-0.6470,0.6802,0
11.3882,CubeBlue,0.0171,-0.6247,-0.0030,0.7807,0
11.4154,CubeRed,-0.2305,0.2817,-0.6410,0.6758,0
11.4155,CubeBlue,0.0151,-0.6248,-0.0065,0.7806,0
11.4693,CubeRed,-0.2201,0.2776,-0.6688,0.6536,0
11.4695,CubeBlue,0.0148,-0.6248,-0.0054,0.7807,0
11.5812,CubeRed,-0.2176,0.3126,-0.6813,0.6251,0
11.5815,CubeBlue,0.0156,-0.6247,-0.0070,0.7807,0
11.6084,CubeRed,-0.3474,0.3217,-0.6894,0.5483,0
11.6085,CubeBlue,0.0145,-0.6247,-0.0108,0.7806,0
11.6653,CubeRed,-0.3474,0.3217,-0.6894,0.5483,0
11.6655,CubeBlue,0.0157,-0.6247,-0.0111,0.7806,0
11.7765,CubeRed,-0.4162,0.3640,-0.6134,0.5639,0
11.7766,CubeBlue,0.0147,-0.6247,-0.0125,0.7806,0
11.8037,CubeRed,-0.4940,0.4312,-0.4927,0.5721,0
11.8042,CubeBlue,0.0163,-0.6246,-0.0123,0.7806,0
11.8579,CubeRed,-0.4969,0.4445,-0.4802,0.5701,0
11.8581,CubeBlue,0.0154,-0.6247,-0.0130,0.7806,0
11.9699,CubeRed,-0.4787,0.4609,-0.4632,0.5863,0
11.9701,CubeBlue,0.0168,-0.6246,-0.0135,0.7806,0
11.9994,CubeRed,-0.4682,0.4596,-0.4740,0.5873,0
11.9996,CubeBlue,0.0164,-0.6246,-0.0141,0.7807,0
12.0523,CubeRed,-0.4673,0.4607,-0.4750,0.5863,0
12.0525,CubeBlue,0.0153,-0.6246,-0.0144,0.7807,0
12.1628,CubeRed,-0.4658,0.4624,-0.4777,0.5840,0
12.1631,CubeBlue,0.0153,-0.6246,-0.0144,0.7807,0
12.1934,CubeRed,-0.4642,0.4643,-0.4818,0.5804,0
12.1936,CubeBlue,0.0149,-0.6246,-0.0153,0.7807,0
